"","p.int","p.slope","p.tot","p.e500","p.e250","p.e100","p.e050","p.e025","p.e010","pcl.e500","pcl.e100","pmcd.e500","pmcd.e250","pmcd.e100","pmcd.e050","pmcd.e025","pmcd.e010","d.int","d.slope","d.tot","d.e500","d.e250","d.e100","d.e050","d.e025","d.e010","dcl.e500","dcl.e100","dmcd.e500","dmcd.e250","dmcd.e100","dmcd.e050","dmcd.e025","dmcd.e010","md.int","md.slope","md.tot","md.e500","md.e250","md.e100","md.e050","md.e025","md.e010","mdcl.e500","mdcl.e100","mdmcd.e500","mdmcd.e250","mdmcd.e100","mdmcd.e050","mdmcd.e025","mdmcd.e010","mmd.int","mmd.slope","mmd.tot","mmd.e500","mmd.e250","mmd.e100","mmd.e050","mmd.e025","mmd.e010","mmdcl.e500","mmdcl.e100","pmcs.e500","mmdmcd.e250","mmdmcd.e100","mmdmcd.e050","mmdmcd.e025","mmdmcd.e010","pa.int","pa.slope","pa.tot","pa.e500","pa.e250","pa.e100","pa.e050","pa.e025","pa.e010","pacl.e500","pacl.e100","pamcd.e500","pamcd.e250","pamcd.e100","pamcd.e050","pamcd.e025","pamcd.e010","pf.int","pf.slope","pf.tot","pf.e500","pf.e250","pf.e100","pf.e050","pf.e025","pf.e010","pclf.e500","pclf.e100","pfmcd.e500","pfmcd.e250","pfmcd.e100","pfmcd.e050","pfmcd.e025","pfmcd.e010","pc.int","pc.slope","pc.tot","pc.e500","pc.e250","pc.e100","pc.e050","pc.e025","pc.e010","pccl.e500","pccl.e100","pcmcd.e500","pcmcd.e250","pcmcd.e100","pcmcd.e050","pcmcd.e025","pcmcd.e010","po.int","po.slope","po.tot","po.e500","po.e250","po.e100","po.e050","po.e025","po.e010","pclo.e500","pclo.e100","pomcd.e500","pomcd.e250","pomcd.e100","pomcd.e050","pomcd.e025","pomcd.e010","slope"
"1",0.954,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.939,0.001,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.946,0.011,0.011,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.957,0.001,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.958,0.001,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.952,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.944,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.88
"2",0.949,0.001,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.944,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.956,0.001,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.952,0.01,0.008,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.957,0.002,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.956,0.002,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.954,0.001,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.945,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.885
"3",0.948,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0.003,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.948,0.017,0.016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.953,0.001,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.951,0.001,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.949,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.938,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.89
"4",0.943,0.001,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.934,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0.007,0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.947,0.022,0.015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.959,0.007,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.957,0.007,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.942,0.001,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.935,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.895
"5",0.941,0.002,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.937,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0.012,0.005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.942,0.053,0.043,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.951,0.015,0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.949,0.014,0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.939,0.002,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.926,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9
"6",0.957,0.001,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.939,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.952,0.011,0.006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.951,0.052,0.042,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.962,0.012,0.003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.96,0.011,0.003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.956,0.001,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.947,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.902
"7",0.953,0.004,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.945,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947,0.01,0.004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.94,0.048,0.037,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.963,0.016,0.003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.961,0.016,0.003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.956,0.005,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.947,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.904
"8",0.959,0.001,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.949,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.948,0.006,0.004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.948,0.051,0.046,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.956,0.013,0.004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.958,0.013,0.004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.956,0.002,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.944,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.906
"9",0.957,0.005,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.957,0.006,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.948,0.022,0.015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.948,0.058,0.047,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.947,0.026,0.007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.944,0.026,0.007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.958,0.007,0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.938,0.001,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.908
"10",0.957,0.01,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.951,0.01,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.946,0.024,0.014,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.948,0.069,0.056,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.949,0.029,0.005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.948,0.032,0.008,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.957,0.011,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.937,0.002,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.91
"11",0.959,0.006,0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.95,0.007,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957,0.022,0.017,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.964,0.082,0.075,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.959,0.024,0.005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.96,0.03,0.01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.959,0.007,0.004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.946,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.912
"12",0.934,0.012,0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.928,0.01,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.933,0.028,0.015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.941,0.08,0.067,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.942,0.041,0.01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.939,0.043,0.012,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.939,0.011,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.929,0.002,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.914
"13",0.96,0.006,0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.953,0.008,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.949,0.022,0.016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.96,0.093,0.085,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.956,0.035,0.019,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.955,0.034,0.018,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.958,0.007,0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.955,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.916
"14",0.946,0.019,0.007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.941,0.018,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.938,0.046,0.027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.942,0.112,0.088,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.931,0.064,0.028,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.934,0.068,0.033,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.948,0.02,0.009,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.936,0.002,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.918
"15",0.958,0.019,0.008,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.95,0.016,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.951,0.039,0.023,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.961,0.133,0.12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.951,0.063,0.028,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.953,0.067,0.034,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.956,0.017,0.006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.952,0.003,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.92
